// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.04 sec)   *****
// Found 3 benchmarks:
//   SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToJsonSerializerTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-CNYTJZ(Toolchain=InProcessEmitToolchain)

WorkloadResult  65: 32 op, 745235700.00 ns, 23.2886 ms/op
WorkloadResult  66: 32 op, 752224400.00 ns, 23.5070 ms/op
WorkloadResult  67: 32 op, 731865200.00 ns, 22.8708 ms/op
WorkloadResult  68: 32 op, 772685500.00 ns, 24.1464 ms/op
WorkloadResult  69: 32 op, 764492500.00 ns, 23.8904 ms/op
WorkloadResult  70: 32 op, 710151100.00 ns, 22.1922 ms/op
WorkloadResult  71: 32 op, 721130100.00 ns, 22.5353 ms/op
WorkloadResult  72: 32 op, 727109300.00 ns, 22.7222 ms/op
WorkloadResult  73: 32 op, 729444400.00 ns, 22.7951 ms/op
WorkloadResult  74: 32 op, 787763700.00 ns, 24.6176 ms/op
WorkloadResult  75: 32 op, 775855100.00 ns, 24.2455 ms/op
WorkloadResult  76: 32 op, 695077500.00 ns, 21.7212 ms/op
WorkloadResult  77: 32 op, 697943400.00 ns, 21.8107 ms/op
WorkloadResult  78: 32 op, 804778800.00 ns, 25.1493 ms/op
WorkloadResult  79: 32 op, 752329900.00 ns, 23.5103 ms/op
WorkloadResult  80: 32 op, 808462300.00 ns, 25.2644 ms/op
WorkloadResult  81: 32 op, 750469400.00 ns, 23.4522 ms/op
WorkloadResult  82: 32 op, 794020700.00 ns, 24.8131 ms/op
WorkloadResult  83: 32 op, 796933300.00 ns, 24.9042 ms/op
WorkloadResult  84: 32 op, 772141700.00 ns, 24.1294 ms/op
WorkloadResult  85: 32 op, 745723400.00 ns, 23.3039 ms/op
WorkloadResult  86: 32 op, 761783800.00 ns, 23.8057 ms/op
